,mouse_id,days,rel_days,rel_sess,metric,perf,perf_norm
326,69,2021-02-24,-12,-11,dist,3.142834424972534,1.0305746188391478
327,69,2021-02-25,-11,-10,dist,3.258929491043091,1.0686436394385435
328,69,2021-02-26,-10,-9,dist,3.4038937091827393,1.116179215181096
329,69,2021-02-27,-9,-8,dist,3.412728786468506,1.1190763472520204
330,69,2021-02-28,-8,-7,dist,2.6449267864227295,0.8673044921222275
331,69,2021-03-01,-7,-6,dist,3.4386863708496094,1.1275881630247444
332,69,2021-03-02,-6,-5,dist,2.077584743499756,0.6812659579280894
333,69,2021-03-03,-5,-4,dist,2.978717803955078,0.9767587312421702
334,69,2021-03-04,-4,-3,dist,2.771066188812256,0.9086671759165925
335,69,2021-03-06,-2,-2,dist,2.39278507232666,0.7846240782788297
336,69,2021-03-07,-1,-1,dist,2.1451196670532227,0.7034115019460672
337,69,2021-03-08,0,0,dist,4.610877990722656,1.511964419775103
338,69,2021-03-10,2,1,dist,2.9676313400268555,0.9731233414022482
339,69,2021-03-11,3,2,dist,5.245068073272705,1.719923260177997
340,69,2021-03-14,6,3,dist,4.906753063201904,1.608985547462086
341,69,2021-03-17,9,4,dist,4.462268829345703,1.4632336216696962
342,69,2021-03-20,12,5,dist,6.097051620483398,1.9992992948959438
343,69,2021-03-23,15,6,dist,7.476214408874512,2.4515439800341783
344,69,2021-03-31,23,7,dist,3.5799779891967773,1.1739194474749495
345,69,2021-02-11,-25,-22,si,0.231705,0.1887950351046349
346,69,2021-02-12,-24,-21,si,0.382868,0.311963822534867
347,69,2021-02-14,-22,-20,si,0.0595983,0.048561158113448404
348,69,2021-02-16,-20,-19,si,0.194612,0.15857137037087335
349,69,2021-02-17,-19,-18,si,0.275321,0.2243336909434116
350,69,2021-02-18,-18,-17,si,0.404687,0.3297421133397613
351,69,2021-02-19,-17,-16,si,0.537363,0.43784754946562193
352,69,2021-02-20,-16,-15,si,0.534885,0.4358284558034684
353,69,2021-02-21,-15,-14,si,0.529951,0.43180819425017314
354,69,2021-02-22,-14,-13,si,0.681066,0.5549378709072884
355,69,2021-02-23,-13,-12,si,0.893854,0.7283191873650475
356,69,2021-02-24,-12,-11,si,0.858489,0.6995035104634898
357,69,2021-02-25,-11,-10,si,0.877174,0.714728193706968
358,69,2021-02-26,-10,-9,si,0.84244,0.6864266605103413
359,69,2021-02-27,-9,-8,si,0.616447,0.5022858074066027
360,69,2021-02-28,-8,-7,si,0.988966,0.8058171842959382
361,69,2021-03-01,-7,-6,si,0.812175,0.661766503252441
362,69,2021-03-02,-6,-5,si,1.32167,1.0769069896926817
363,69,2021-03-03,-5,-4,si,0.938988,0.7650947214036422
364,69,2021-03-04,-4,-3,si,0.990796,0.8073082825210153
365,69,2021-03-06,-2,-2,si,1.39003,1.1326072490731562
366,69,2021-03-07,-1,-1,si,1.26706,1.032410337194617
367,69,2021-03-08,0,0,si,1.02476,0.8349824137322269
368,69,2021-03-10,2,1,si,1.06637,0.8688865651778319
369,69,2021-03-11,3,2,si,0.0937034,0.07635025870146803
370,69,2021-03-14,6,3,si,0.179354,0.14613903336637835
371,69,2021-03-17,9,4,si,0.352053,0.2868555210016704
372,69,2021-03-20,12,5,si,0.366035,0.2982481632874778
373,69,2021-03-23,15,6,si,0.224322,0.18277930931461087
374,69,2021-03-31,23,7,si,0.704084,0.5736931162323289
375,69,2021-02-11,-25,-22,si_norm,-6.77407,0.9975554694897558
376,69,2021-02-12,-24,-21,si_norm,-5.18017,0.7628363622440791
377,69,2021-02-14,-22,-20,si_norm,-6.90689,1.0171146587891917
378,69,2021-02-16,-20,-19,si_norm,-6.56155,0.9662595885236657
379,69,2021-02-17,-19,-18,si_norm,-6.47521,0.9535450846529135
380,69,2021-02-18,-18,-17,si_norm,-6.60217,0.9722413252300584
381,69,2021-02-19,-17,-16,si_norm,-6.90689,1.0171146587891917
382,69,2021-02-20,-16,-15,si_norm,-6.84048,1.0073350641394738
383,69,2021-02-21,-15,-14,si_norm,-6.90689,1.0171146587891917
384,69,2021-02-22,-14,-13,si_norm,-6.90689,1.0171146587891917
385,69,2021-02-23,-13,-12,si_norm,-6.90689,1.0171146587891917
386,69,2021-02-24,-12,-11,si_norm,-6.763,0.995925291613346
387,69,2021-02-25,-11,-10,si_norm,-6.90689,1.0171146587891917
388,69,2021-02-26,-10,-9,si_norm,-6.90689,1.0171146587891917
389,69,2021-02-27,-9,-8,si_norm,-6.90689,1.0171146587891917
390,69,2021-02-28,-8,-7,si_norm,-6.8284,1.0055561527802117
391,69,2021-03-01,-7,-6,si_norm,-6.90689,1.0171146587891917
392,69,2021-03-02,-6,-5,si_norm,-6.90689,1.0171146587891917
393,69,2021-03-03,-5,-4,si_norm,-6.90689,1.0171146587891917
